Japanese,Tamil
konnichiwa,வணக்கம்
ohayougozaimasu,காலை வணக்கம்
konbanwa,வணக்கம்
sayounara,குட்பை
oyasuminasai,குட்நைட்
hai,ஆம்
lie,இல்லை
rigatou,நன்றி
sumimasen,மன்னிக்கவும்
gomennasai,மன்னிக்கவும்
onegaishimasu,தயவுசெய்து
doumo,நன்றி
itadakimasu,லெட்சீட்
gochisousamadeshita,நன்றி உணவு
irasshaimase,வரவேற்கிறேன்
watashi,ஐ
anata,நீ
nihon,ஜப்பான்
eigo,ஆங்கில மொழி
nihongo,ஜப்பானிய மொழி
sensei,ஆசிரியர்
Gakusei,மாணவர்
tomodachi,நண்பர்
kazoku,குடும்பம்
mizu,தண்ணீர்
gohan,உணவு
taberu,கால்விரல்
miru,பார்க்க
kiku,கேட்க
hanasu,பேச
wakaru,புரிந்து கொள்ள
wakaranai,புரியவில்லை
oishii,சுவையான
mazui,சுவையற்ற
kore,இது
sore,என்று
doko,எங்கே
itsu,எப்போது
dari,yarr
nani,என்ன
iruka,எவ்வளவு
daisuki,காதல்
suki,விரும்புவது
kirai,tohate
mazui,அடடா
pan,தாடி
sakana,மீன்
toukyo,டோக்கியோ
chiisai,சிறிய
ookii,பெரிய
atarashi,புதிய
furui,பழைய
takai,விலையுயர்ந்த
yasui,மலிவான
samui,குளிர்
atsui,சூடான
muzukashi,கடினமான
yassashi,எளிதாக
genki,ஆரோக்கியமான
byouki,உடம்பு சரியில்லை
jikan,நேரம்
kyou,இன்று
ashita,நாளை
kinou,நேற்று
ima,இப்போது
atode,பின்னர்
mae,முன்
hashiru,டோரன்
aruru,இழுத்துச் செல்ல
neru,தூங்கு
okiru,எழுப்புதல்
suwaru,vukaru
tatsu,நிற்க
kaku,எழுது
yomo,கிழித்து
kau,வாங்க
uru,விற்க
machi,நகரம்
ichi,பொருத்தம்
eki,விமான நிலையம்
kuukou,மருத்துவமனை
gakko,பள்ளி
mise,கடை
depatoo,துறைசார் கடை
konbini,வசதியான கடை
rykou,பயணம்
shigoto,வேலை
kaimono,ஷாப்பிங்
denwa,தொலைபேசி
pasokon,தனிப்பட்ட கணினி
hon,புத்தகம்
zasshi,இதழ்
shimbun,செய்தித்தாள்
jisho,அகராதி
enpitsu,பென்சில்
shri,ஷூரி
jei,ஜெய்
ashitemasu,நான் உன்னை நேசிக்கிறேன்
kureiji,பைத்தியம்
